station_id,in_degree,out_degree,pagerank,betweenness,short_name,name,capacity,region_id
JC121,89,89,0.0020573625145737236,93.3534562560097,JC121,MLK Dr & Bramhall Ave,14,70
JC125,47,50,0.0018623181552851063,0.4129552011563094,,,,
JC107,50,58,0.0016996705074293432,0.2142813081446397,JC107,Grant Ave & MLK Dr,18,70
JC127,35,31,0.0016920778423352813,0.21979598203931727,JC127,Arlington Ave & Wilkinson Ave,14,70
5297.02,60,0,0.0016608998046981575,0.0,5297.02,Vesey Pl & River Terrace,57,71
5470.12,20,0,0.0014515155939499285,0.0,5470.12,North Moore St & Greenwich St,29,71
5216.06,17,0,0.0014429339563987967,0.0,5216.06,Vesey St & Church St,78,71
6492.08,18,0,0.001431321674174833,0.0,6492.08,9 Ave & W 33 St,94,71
6459.07,16,0,0.0014107913630856427,0.0,6459.07,W 30 St & 10 Ave,56,71
8859.03,4,0,0.0014046672331799713,0.0,8859.03,Van Cortlandt Park S & Dickinson Ave,25,71
5368.03,14,0,0.0014036773931463316,0.0,5368.03,River Ter & Warren St,69,71
6233.04,12,0,0.001391290601274811,0.0,6233.04,Pier 61 at Chelsea Piers,43,71
6578.01,12,0,0.001390234001864842,0.0,6578.01,W 34 St & 11 Ave,80,71
5359.13,10,0,0.0013806781225437577,0.0,5359.13,Church St & Worth St,45,71
5329.03,10,0,0.0013803598565443281,0.0,,,,
5450.04,12,0,0.001379883270581027,0.0,5450.04,N 12 St & Bedford Ave,47,71
5470.10,9,0,0.001375565556372263,0.0,5470.10,Greenwich St & Hubert St,35,71
5679.08,7,0,0.0013616343969601252,0.0,5679.08,Bleecker St & Crosby St,63,71
6432.15,8,0,0.0013615401996463195,0.0,6432.15,Park Ave & E 40 St,72,71
6474.11,8,0,0.0013589526543173482,0.0,6474.11,E 40 St & 5 Ave,93,71
6765.01,7,0,0.0013551712112728634,0.0,6765.01,12 Ave & W 40 St,76,71
6551.11,7,0,0.0013535673020690078,0.0,6551.11,E 43 St & Madison Ave,56,71
6551.02,7,0,0.0013534302130005459,0.0,6551.02,W 44 St & 5 Ave,68,71
5500.02,5,0,0.001349646232374873,0.0,5500.02,Grand St & Greene St,45,71
5359.10,4,0,0.001344024903581201,0.0,5359.10,Hudson St & Reade St,55,71
6398.06,5,0,0.0013437562210515594,0.0,6398.06,W 37 St & 5 Ave,60,71
4962.08,4,0,0.0013431100588810667,0.0,4962.08,Broad St & Bridge St,49,71
6535.04,4,0,0.0013421359540080257,0.0,6535.04,W 34 St & Hudson Blvd E,57,71
6432.11,3,0,0.0013396854187109183,0.0,6432.11,E 40 St & Park Ave,123,71
4993.15,3,0,0.001338889723598614,0.0,4993.15,Water St & Gouverneur Ln,37,71
7648.16,1,0,0.001338808941809524,0.0,7648.16,2 Ave & E 125 St,30,71
6432.09,3,0,0.001338244919747562,0.0,6432.09,Park Ave & E 42 St,83,71
4962.09,3,0,0.0013377165799951234,0.0,4962.09,Pearl St & Whitehall St,44,71
5561.06,3,0,0.001337600000792771,0.0,5561.06,Lafayette St & Jersey St,60,71
5755.14,3,0,0.0013374047073548328,0.0,5755.14,University Pl & E 8 St,79,71
5653.12,3,0,0.0013367731415076041,0.0,5653.12,Spring St & Hudson St,63,71
6004.06,3,0,0.0013366448983564842,0.0,6004.06,E 27 St & 1 Ave,87,71
5303.08,3,0,0.001336383315839706,0.0,5303.08,Canal St & Rutgers St,45,71
5288.09,3,0,0.0013361389963969044,0.0,5288.09,Warren St & W Broadway,71,71
6322.01,3,0,0.0013347193888670838,0.0,6322.01,E 33 St & 5 Ave,60,71
5947.06,3,0,0.0013336709618971875,0.0,5947.06,E 15 St & 5 Ave,73,71
6190.08,3,0,0.0013336709618971875,0.0,6190.08,9 Ave & W 18 St,84,71
6708.04,2,0,0.0013330136556037573,0.0,6708.04,Broadway & W 48 St,103,71
6611.02,2,0,0.0013320179216722218,0.0,6611.02,W 37 St & 10 Ave,39,71
5450.01,2,0,0.001331670525616673,0.0,5450.01,N 10 St & Berry St,47,71
5359.11,2,0,0.0013313231295611246,0.0,5359.11,Leonard St & Church St,54,71
6089.11,2,0,0.0013313231295611246,0.0,6089.11,E 26 St & 3 Ave,39,71
5065.12,2,0,0.0013311337128057796,0.0,5065.12,William St & Pine St,57,71
5247.10,2,0,0.0013311337128057796,0.0,5247.10,Reade St & Broadway,62,71
3865.05,2,0,0.0013309578936502643,0.0,3865.05,3 St & Prospect Park West,31,71
5532.01,2,0,0.0013309402100903174,0.0,5532.01,Mercer St & Spring St,67,71
5847.01,2,0,0.0013308639280837026,0.0,5847.01,Christopher St & Greenwich St,74,71
4993.13,2,0,0.001330845501712645,0.0,4993.13,Old Slip & South St,93,71
5880.02,2,0,0.0013307528152298837,0.0,5880.02,W 4 St & 7 Ave S,60,71
5184.08,2,0,0.0013307372109140003,0.0,5184.08,West St & Liberty St,48,71
6450.05,2,0,0.001330701676975534,0.0,6450.05,8 Ave & W 31 St,97,71
5539.08,2,0,0.0013306343614139112,0.0,5539.08,Varick St & Watts St,49,71
5772.05,2,0,0.0013305941433616256,0.0,5772.05,Morton St & Greenwich St,56,71
4710.06,2,0,0.0013305572906195102,0.0,4710.06,Jay St & Tech Pl,52,71
5696.03,2,0,0.0013303107073791742,0.0,5696.03,Pier 40 - Hudson River Park,23,71
5400.05,2,0,0.0013299749591321477,0.0,5400.05,Harrison St & Hudson St,39,71
6593.15,2,0,0.0013298959297864791,0.0,6593.15,6 Ave & W 45 St,67,71
6233.05,2,0,0.0013298048245294566,0.0,6233.05,W 16 St & The High Line,60,71
5033.01,2,0,0.0013291081440596178,0.0,5033.01,Broadway & Morris St,69,71
