name,short_name,station_id,lon,lat,region_id,capacity
Walton Ave & E 153 St,7945.07,dee5a590-7cda-465e-8351-b0622a5e2ad3,-73.926907,40.822351,71,19
10 Ave & W 207 St,8613.09,a5bd1f58-7df8-4df6-9636-372f1bc194be,-73.918598,40.864632,71,39
57 Ave & 98 Pl,6028.01,1856767555236917834,-73.86103,40.73802,71,25
12 Ave & W 40 St,6765.01,66dc7d58-0aca-11e7-82f6-3863bb44ef7c,-74.00277668,40.76087502,71,76
28 Ave & 44 St,6879.04,00284700-9d22-42ce-8485-113fed9879c1,-73.91065120697021,40.76408932350688,71,19
55 St & 7 Ave,2951.05,3ac37967-e174-421a-bfeb-d02249fb1266,-74.008957,40.639673,71,25
Jefferson Ave & Patchen Ave,4375.02,82b97827-1801-4b7b-b3de-16447a8dd025,-73.92628,40.68609,71,19
Fort Hamilton Pkwy & 95 St,2118.13,2126965369631090816,-74.02946,40.61466,71,16
Decatur Ave & Oliver Pl,8631.03,627c77c0-0088-4ba8-ba66-73e0e3d3fe77,-73.8857764,40.867,71,23
Clinton St & Union St,4266.03,66ddf310-0aca-11e7-82f6-3863bb44ef7c,-73.99785267,40.6831164,71,37
Pitt St & Stanton St,5406.04,66dbefee-0aca-11e7-82f6-3863bb44ef7c,-73.98178024,40.71926081,71,15
Grand Concourse & E 192 St,8601.04,2ec2f95c-675c-4c59-856f-1fb38df59fa2,-73.89522,40.86448,71,21
20 Ave & 38 St,7196.04,6cb5fac5-f7e8-4ec9-94cf-816771d91ecd,-73.902382,40.777112,71,29
61 St & Woodside Ave,6191.06,a4c9faeb-2234-457d-ad56-1ab14104b538,-73.9036,40.74501,71,20
E 67 St & Park Ave,6932.14,66dd9b0f-0aca-11e7-82f6-3863bb44ef7c,-73.96592080593109,40.76780080148132,71,39
West Farms Rd & Boone Ave,8076.08,d7a7789b-a052-4a69-a4ec-59436b0f8d75,-73.88630211353302,40.8301283948092,71,20
Adam Clayton Powell Blvd & W 151 St,8009.05,1b962833-d769-418e-b1ef-5a183bb5eb1a,-73.936232,40.825289,71,18
Soissons Landing,4631.02,2088792249063596144,-74.015936,40.692566,71,29
W 20 St & 5 Ave,6098.02,3d340fc5-8c86-4d5e-974d-ae28958e61e8,-73.99103969335556,40.73972989238724,71,57
W 140 St & Riverside Dr,7981.27,fe6f022b-7fdb-44fe-80bb-cbfc500959bf,-73.954743,40.824013,71,23
46 St & 6 Ave,3161.02,7155b0a6-2545-4b02-ae8c-9c0c4220f8c3,-74.005708,40.645921,71,21
Colonial Rd & 68 St,2843.01,2123939242997647892,-74.03093,40.63841,71,19
65 Pl & Central Ave,4937.03,1a92d2d3-ddf1-4f34-b28c-ce7a064b9a3e,-73.88981,40.70264,71,21
Sigourney St & Columbia St,3940.04,66de18d7-0aca-11e7-82f6-3863bb44ef7c,-74.0087952464819,40.67267243410948,71,21
Washington St & Laight St,5509.02,9b0c2c99-214f-4e15-b476-1626c03a9e4e,-74.0106,40.72231,71,63
53 Ave & 94 St,6037.02,1846086263936934630,-73.86887,40.73921,71,20
47 Ave & 104 St,6295.07,1849009794224623642,-73.85945,40.7458,71,20
Madison St & Forest Ave,5025.02,272c0389-5e4a-41a9-ad6c-2dccdfa55af9,-73.90245,40.70555,71,25
78 St & Northern Blvd,6603.07,1869754143518014264,-73.88905,40.75499,71,40
Flatbush Ave & Lincoln Rd,3593.1,0258da92-f770-4acc-b20b-91b78aff791e,-73.96091,40.66131,71,23
Van Brunt St & Wolcott St,4095.03,66de14af-0aca-11e7-82f6-3863bb44ef7c,-74.01275056,40.6773429,71,36
Morningside Ave & W 123 St,7741.01,23539f3b-fb83-4f34-b8b8-9f1f37b5e646,-73.9551508,40.81,71,35
36 St & Queens Blvd,6260.04,bcd3ee0f-21d7-4cc8-ac45-ccea48b6fc1b,-73.92901,40.74408,71,24
34 Ave & Junction Blvd,6585.11,1835246381185208614,-73.87285,40.75502,71,23
